01-Look-At-Me!.mp3;XXXTENTACION;Look At Me!;Look At Me!
"03-Jump-Out-the-Face-(feat.-Future).mp3;Meek Mill, Future;Jump Out the Face (feat. Future);Dreams Worth More Than Money"
02-First-Day-Out.mp3;Tee Grizzley;First Day Out;My Moment
02-Memo.mp3;Young Thug;Memo;Slime Season 3
03-I-Love-College.mp3;Asher Roth;I Love College;Asleep In The Bread Aisle
06-Gave-It-All-I-Got.mp3;Kodak Black;Gave It All I Got;Lil Big Pac
"07-Too-Many-Years.mp3;Kodak Black, PnB Rock;Too Many Years;Lil Big Pac"
"06-Poetic-Justice.mp3;Kendrick Lamar, Drake;Poetic Justice;good kid, m.A.A.d city (Deluxe)"
08-G.O.M.D.mp3;J. Cole;G.O.M.D.;2014 Forest Hills Drive
05-Cowboy.mp3;Wiz Khalifa;Cowboy;Khalifa
"04-Slime-Shit-(feat.-Yak-Gotti,-Duke-&-Peewee-Roscoe).mp3;Young Thug, Yak Gotti, Duke, PeeWee Roscoe;Slime Shit (feat. Yak Gotti, Duke & Peewee Roscoe);Slime Season 3"
06-White-Iverson.mp3;Post Malone;White Iverson;Stoney (Deluxe)
16-HiiiPower.mp3;Kendrick Lamar;HiiiPower;Section.80
15-Up-Up-&-Away---Album-Version-(Edited).mp3;Kid Cudi;Up Up & Away - Album Version (Edited);Man On The Moon: The End Of Day (Deluxe)
"09-Baby-Blue-(feat.-Chance-the-Rapper).mp3;Action Bronson, Chance the Rapper;Baby Blue (feat. Chance the Rapper);Mr. Wonderful"
"05-Hate-Bein'-Sober.mp3;Chief Keef, 50 Cent, Wiz Khalifa;Hate Bein' Sober;Finally Rich (Deluxe)"
05-You-Was-Right.mp3;Lil Uzi Vert;You Was Right;Lil Uzi Vert Vs. The World
"04-Gold-Digger.mp3;Kanye West, Jamie Foxx;Gold Digger;Late Registration"
04-7am.mp3;Lil Uzi Vert;7am;Luv Is Rage
"10-Pop-That.mp3;French Montana, Rick Ross, Drake, Lil Wayne;Pop That;Excuse My French"
"09-Ocean-Drive.mp3;21 Savage, Metro Boomin;Ocean Drive;Savage Mode"
"01-Yonkers.mp3;Tyler, The Creator;Yonkers;Yonkers"
09-No-Role-Modelz.mp3;J. Cole;No Role Modelz;2014 Forest Hills Drive
"03-X-(feat.-Future).mp3;21 Savage, Metro Boomin, Future;X (feat. Future);Savage Mode"
07-Alright.mp3;Kendrick Lamar;Alright;To Pimp A Butterfly
05-Digits.mp3;Young Thug;Digits;Slime Season 3
"01-Skateboard-P-(feat.-Big-Sean).mp3;MadeinTYO, Big Sean;Skateboard P (feat. Big Sean);Skateboard P (feat. Big Sean)"
01-No-Flockin.mp3;Kodak Black;No Flockin;No Flockin
11-BagBak.mp3;Vince Staples;BagBak;Big Fish Theory
"01-From-The-D-To-The-A-(feat.-Lil-Yachty).mp3;Tee Grizzley, Lil Yachty;From The D To The A (feat. Lil Yachty);From The D To The A (feat. Lil Yachty)"
